===========================================================================



	R-Code for ERS-7



	Copyright (C) 2004 Sony Corporation

	All Rights Reserved.



===========================================================================


---------------------------------------------------------------------------
MWCID   Action Name                         Start pose 
---------------------------------------------------------------------------
2347    E_LEDSP.M_ORIGIN.S_NORMAL1          any
2348    E_LEDSP.M_ORIGIN.S_NORMAL2          any
2349    E_LEDSP.M_ORIGIN.S_NORMAL3          any
2350    E_LEDSP.M_ORIGIN.S_NORMAL4          any
2351    E_LEDSP.M_ORIGIN.S_NORMAL5          any
2352    E_LEDSP.M_ORIGIN.S_NORMAL6          any
2353    E_LEDSP.M_ORIGIN.S_NORMAL7          any
2354    E_LEDSP.M_ORIGIN.S_NORMAL8          any
2355    E_LEDSP.M_ORIGIN.S_NORMAL9          any
2356    E_LEDSP.M_ORIGIN.S_NORMAL10         any
2357    E_LEDSP.M_ORIGIN.S_NORMAL11         any
2358    E_LEDSP.M_ORIGIN.S_NORMAL12         any
2359    E_LEDSP.M_ORIGIN.S_NORMAL13         any
2360    E_LEDSP.M_ORIGIN.S_NORMAL14         any
2361    E_LEDSP.M_ORIGIN.S_NORMAL15         any
2362    E_LEDSP.M_ORIGIN.S_NORMAL16         any
2363    E_LEDSP.M_ORIGIN.S_NORMAL17         any
2364    E_LEDSP.M_ORIGIN.S_NORMAL18         any
2365    E_LEDSP.M_ORIGIN.S_NORMAL19         any
2366    E_LEDSP.M_ORIGIN.S_NORMAL20         any
2367    E_LEDSP.M_ORIGIN.S_NORMAL21         any
2368    E_LEDSP.M_ORIGIN.S_NORMAL22         any
2369    E_LEDSP.M_ORIGIN.S_NORMAL23         any
2370    E_LEDSP.M_ORIGIN.S_NORMAL24         any
2371    E_LEDSP.M_ORIGIN.S_NORMAL25         any
2372    E_LEDSP.M_ORIGIN.S_NORMAL26         any
2373    E_LEDSP.M_ORIGIN.S_NORMAL27         any
2374    E_LEDSP.M_ORIGIN.S_NORMAL28         any
2375    E_LEDSP.M_ORIGIN.S_NORMAL29         any
2376    E_LEDSP.M_ORIGIN.S_NORMAL30         any
2377    E_LEDSP.M_ORIGIN.S_NORMAL31         any
2378    E_LEDSP.M_ORIGIN.S_NORMAL32         any
2379    E_LEDSP.M_ORIGIN.S_NORMAL33         any
2380    E_LEDSP.M_ORIGIN.S_NORMAL34         any
2381    E_LEDSP.M_ORIGIN.S_NORMAL35         any
2382    E_LEDSP.M_ORIGIN.S_NORMAL36         any
2383    E_LEDSP.M_ORIGIN.S_NORMAL37         any
2384    E_LEDSP.M_ORIGIN.S_NORMAL38         any
2385    E_LEDSP.M_ORIGIN.S_NORMAL39         any
2386    E_LEDSP.M_ORIGIN.S_NORMAL40         any
2387    E_LEDSP.M_ORIGIN.S_NORMAL41         any
2388    E_LEDSP.M_ORIGIN.S_NORMAL42         any
2389    E_LEDSP.M_ORIGIN.S_NORMAL43         any
2405    L_FDSP.M_CHEER.S_FOUNDST            any
2406    L_FDSP.M_CHEER.S_FOUNDST            any
2426    L_FDSP.M_CHEER.S_FOUNDCARD          any
2427    L_REFLEX.M_JOY.S_SOUNDLED           any
2428    L_REFLEX.M_JOY.S_SOUNDLED           any
2429    L_REFLEX.M_JOY.S_SOUNDLED           any
2430    L_REFLEX.M_JOY.S_SOUNDLED           any
2431    L_REFLEX.M_JOY.S_SOUNDLED           any
2432    L_REFLEX.M_SAD.S_SOUNDLED           any
2433    L_REFLEX.M_SAD.S_SOUNDLED           any
2434    L_REFLEX.M_SAD.S_SOUNDLED           any
2435    L_REFLEX.M_SAD.S_SOUNDLED           any
2436    L_REFLEX.M_SAD.S_SOUNDLED           any
2437    L_REFLEX.M_ANGRY.S_SOUNDLED         any
2438    L_REFLEX.M_ANGRY.S_SOUNDLED         any
2439    L_REFLEX.M_ANGRY.S_SOUNDLED         any
2440    L_REFLEX.M_ANGRY.S_SOUNDLED         any
2441    L_REFLEX.M_ANGRY.S_SOUNDLED         any
2442    L_REFLEX.M_SURP.S_SOUNDLED          any
2443    L_REFLEX.M_SURP.S_SOUNDLED          any
2444    L_REFLEX.M_SURP.S_SOUNDLED          any
2445    L_REFLEX.M_SURP.S_SOUNDLED          any
2446    L_REFLEX.M_SURP.S_SOUNDLED          any
2447    L_REFLEX.M_DISG.S_SOUNDLED          any
2448    L_REFLEX.M_DISG.S_SOUNDLED          any
2449    L_REFLEX.M_DISG.S_SOUNDLED          any
2450    L_REFLEX.M_DISG.S_SOUNDLED          any
2451    L_REFLEX.M_DISG.S_SOUNDLED          any
2452    L_REFLEX.M_FEAR.S_SOUNDLED          any
2453    L_REFLEX.M_FEAR.S_SOUNDLED          any
2454    L_REFLEX.M_FEAR.S_SOUNDLED          any
2455    L_REFLEX.M_FEAR.S_SOUNDLED          any
2456    L_REFLEX.M_FEAR.S_SOUNDLED          any
2457    L_EDSP.M_JOY.S_SOUNDLED             any
2458    L_EDSP.M_JOY.S_SOUNDLED             any
2459    L_EDSP.M_JOY.S_SOUNDLED             any
2460    L_EDSP.M_JOY.S_SOUNDLED             any
2461    L_EDSP.M_JOY.S_SOUNDLED             any
2462    L_EDSP.M_SAD.S_SOUNDLED             any
2463    L_EDSP.M_SAD.S_SOUNDLED             any
2464    L_EDSP.M_SAD.S_SOUNDLED             any
2465    L_EDSP.M_SAD.S_SOUNDLED             any
2466    L_EDSP.M_SAD.S_SOUNDLED             any
2467    L_EDSP.M_ANGRY.S_SOUNDLED           any
2468    L_EDSP.M_ANGRY.S_SOUNDLED           any
2469    L_EDSP.M_ANGRY.S_SOUNDLED           any
2470    L_EDSP.M_ANGRY.S_SOUNDLED           any
2471    L_EDSP.M_ANGRY.S_SOUNDLED           any
2472    L_EDSP.M_SURP.S_SOUNDLED            any
2473    L_EDSP.M_SURP.S_SOUNDLED            any
2474    L_EDSP.M_SURP.S_SOUNDLED            any
2475    L_EDSP.M_SURP.S_SOUNDLED            any
2476    L_EDSP.M_SURP.S_SOUNDLED            any
2477    L_EDSP.M_DISG.S_SOUNDLED            any
2478    L_EDSP.M_DISG.S_SOUNDLED            any
2479    L_EDSP.M_DISG.S_SOUNDLED            any
2480    L_EDSP.M_DISG.S_SOUNDLED            any
2481    L_EDSP.M_DISG.S_SOUNDLED            any
2482    L_EDSP.M_FEAR.S_SOUNDLED            any
2483    L_EDSP.M_FEAR.S_SOUNDLED            any
2484    L_EDSP.M_FEAR.S_SOUNDLED            any
2485    L_EDSP.M_FEAR.S_SOUNDLED            any
2486    L_EDSP.M_FEAR.S_SOUNDLED            any
2487    L_REFLEX.M_JOY.S_SOUND              any
2488    L_REFLEX.M_JOY.S_SOUND              any
2489    L_REFLEX.M_JOY.S_SOUND              any
2490    L_REFLEX.M_JOY.S_SOUND              any
2491    L_REFLEX.M_JOY.S_SOUND              any
2492    L_REFLEX.M_SAD.S_SOUND              any
2493    L_REFLEX.M_SAD.S_SOUND              any
2494    L_REFLEX.M_SAD.S_SOUND              any
2495    L_REFLEX.M_SAD.S_SOUND              any
2496    L_REFLEX.M_SAD.S_SOUND              any
2497    L_REFLEX.M_ANGRY.S_SOUND            any
2498    L_REFLEX.M_ANGRY.S_SOUND            any
2499    L_REFLEX.M_ANGRY.S_SOUND            any
2500    L_REFLEX.M_ANGRY.S_SOUND            any
2501    L_REFLEX.M_ANGRY.S_SOUND            any
2502    L_REFLEX.M_SURP.S_SOUND             any
2503    L_REFLEX.M_SURP.S_SOUND             any
2504    L_REFLEX.M_SURP.S_SOUND             any
2505    L_REFLEX.M_SURP.S_SOUND             any
2506    L_REFLEX.M_SURP.S_SOUND             any
2507    L_REFLEX.M_DISG.S_SOUND             any
2508    L_REFLEX.M_DISG.S_SOUND             any
2509    L_REFLEX.M_DISG.S_SOUND             any
2510    L_REFLEX.M_DISG.S_SOUND             any
2511    L_REFLEX.M_DISG.S_SOUND             any
2512    L_REFLEX.M_FEAR.S_SOUND             any
2513    L_REFLEX.M_FEAR.S_SOUND             any
2514    L_REFLEX.M_FEAR.S_SOUND             any
